SAE.LTFT4,Long Term Fuel Trim - Bank 4,0109,1,9,1,Fuel,Generic,SAE,1,%,%,-100,99.22,-100,99.22,1,0,0,0
SAE.FUEL_PRES,Fuel Rail Pressure,010A,1,10,0,Fuel,Generic,SAE,1,psi,kPa,0,111,0,765,1,0,0,0
SAE.MAP,Intake Manifold Absolute Pressure,010B,1,11,0,Fuel,Generic,SAE,1,psi,kPa,0,37,0,255,1,0,0,0
SAE.RPM,Engine RPM,010C,1,12,0,Speed,Generic,SAE,1,rpm,rpm,0,16384,0,16384,1,0,0,0
SAE.VSS,Vehicle Speed Sensor,010D,1,13,0,Speed,Generic,SAE,1,mph,km/h,0,159,0,255,1,0,0,0
SAE.SPARKADV,Ignition Timing Advance for #1 Cylinder,010E,1,14,0,Spark,Generic,SAE,1,,,-64,64.5,-64,63.5,1,0,0,0
SAE.IAT,Intake Air Temperature,010F,1,15,0,Temperature,Generic,SAE,1,F,C,-40,419,-40,215,1,0,0,0
SAE.MAF,Mass Air Flow Rate,0110,1,16,0,Airflow,Generic,SAE,1,lb/min,g/s,0,86.69,0,655.35,1,0,0,0
SAE.TP,Throttle Position,0111,1,17,0,General,Generic,SAE,1,%,%,0,100,0,100,1,0,0,0
SAE.SECAIR_STATUS,Commanded Secondary Air Status,0112,1,18,0,O2,Generic,SAE,1,,,,,,,0,0,1,0
SAE.O2B1S1A_PRESENT,Oxygen Sensor Present (Bank 1 Sensor 1),0113,1,19,0,O2,Generic,SAE,3,,,0,1,0,1,1,1,1,0
SAE.O2B1S2A_PRESENT,Oxygen Sensor Present (Bank 1 Sensor 2),0113,1,19,1,O2,Generic,SAE,3,,,0,1,0,1,1,1,1,0
SAE.O2B1S3A_PRESENT,Oxygen Sensor Present (Bank 1 Sensor 3),0113,1,19,2,O2,Generic,SAE,3,,,0,1,0,1,1,1,1,0
SAE.O2B1S4A_PRESENT,Oxygen Sensor Present (Bank 1 Sensor 4),0113,1,19,3,O2,Generic,SAE,3,,,0,1,0,1,1,1,1,0
SAE.O2B2S1A_PRESENT,Oxygen Sensor Present (Bank 2 Sensor 1),0113,1,19,4,O2,Generic,SAE,3,,,0,1,0,1,1,1,1,0
SAE.O2B2S2A_PRESENT,Oxygen Sensor Present (Bank 2 Sensor 2),0113,1,19,5,O2,Generic,SAE,3,,,0,1,0,1,1,1,1,0
SAE.O2B2S3A_PRESENT,Oxygen Sensor Present (Bank 2 Sensor 3),0113,1,19,6,O2,Generic,SAE,3,,,0,1,0,1,1,1,1,0
SAE.O2B2S4A_PRESENT,Oxygen Sensor Present (Bank 2 Sensor 4),0113,1,19,7,O2,Generic,SAE,3,,,0,1,0,1,1,1,1,0
SAE.O2B1S1_VOLTS,Oxygen Sensor Voltage (Bank 1 Sensor 1),0114,1,20,0,O2,Generic,SAE,1,V,V,0,1.275,0,1.275,1,0,0,0
SAE.O2B1S1_STFT,O2 Sensor Short Term Fuel Trim (Bank 1 Sensor 1),0114,1,20,1,O2,Generic,SAE,1,%,%,-100,99.2,-100,99.2,1,0,0,0
SAE.O2B1S2_VOLTS,Oxygen Sensor Voltage (Bank 1 Sensor 2),0115,1,21,0,O2,Generic,SAE,1,V,V,0,1.275,0,1.275,1,0,0,0
SAE.O2B1S2_STFT,O2 Sensor Short Term Fuel Trim  (Bank 1 Sensor 2),0115,1,21,1,O2,Generic,SAE,1,%,%,-100,99.2,-100,99.2,1,0,0,0
SAE.O2B1S3_VOLTS,Oxygen Sensor Voltage (Bank 1 Sensor 3),0116,1,22,0,O2,Generic,SAE,1,V,V,0,1.275,0,1.275,1,0,0,0
SAE.O2B1S3_STFT,O2 Sensor Short Term Fuel Trim (Bank 1 Sensor 3),0116,1,22,1,O2,Generic,SAE,1,%,%,-100,99.2,-100,99.2,1,0,0,0
SAE.O2B1S4_VOLTS,Oxygen Sensor Voltage (Bank 1 Sensor 4),0117,1,23,0,O2,Generic,SAE,1,V,V,0,1.275,0,1.275,1,0,0,0
SAE.O2B1S4_STFT,O2 Sensor Short Term Fuel Trim (Bank 1 Sensor 4),0117,1,23,1,O2,Generic,SAE,1,%,%,-100,99.2,-100,99.2,1,0,0,0
SAE.O2B2S1_VOLTS,Oxygen Sensor Voltage (Bank 2 Sensor 1),0118,1,24,0,O2,Generic,SAE,1,V,V,0,1.275,0,1.275,1,0,0,0
SAE.O2B2S1_STFT,O2 Sensor Short Term Fuel Trim (Bank 2 Sensor 1),0118,1,24,1,O2,Generic,SAE,1,%,%,-100,99.2,-100,99.2,1,0,0,0
SAE.O2B2S2_VOLTS,Oxygen Sensor Voltage (Bank 2 Sensor 2),0119,1,25,0,O2,Generic,SAE,1,V,V,0,1.275,0,1.275,1,0,0,0
SAE.O2B2S2_STFT,O2 Sensor Short Term Fuel Trim (Bank 2 Sensor 2),0119,1,25,1,O2,Generic,SAE,1,%,%,-100,99.2,-100,99.2,1,0,0,0
SAE.O2B2S3_VOLTS,Oxygen Sensor Voltage (Bank 2 Sensor 3),011A,1,26,0,O2,Generic,SAE,1,V,V,0,1.275,0,1.275,1,0,0,0
SAE.O2B2S3_STFT,O2 Sensor Short Term Fuel Trim (Bank 2 Sensor 3),011A,1,26,1,O2,Generic,SAE,1,%,%,-100,99.2,-100,99.2,1,0,0,0
SAE.O2B2S4_VOLTS,Oxygen Sensor Voltage (Bank 2 Sensor 4),011B,1,27,0,O2,Generic,SAE,1,V,V,0,1.275,0,1.275,1,0,0,0
SAE.O2B2S4_STFT,O2 Sensor Short Term Fuel Trim (Bank 2 Sensor 4),011B,1,27,1,O2,Generic,SAE,1,%,%,-100,99.2,-100,99.2,1,0,0,0
SAE.OBD_TYPE,OBD Standard Vehicle Complies With,011C,1,28,0,Emissions,Generic,SAE,3,,,,,,,0,0,1,0
SAE.O2B1S1B_PRESENT,Oxygen Sensor Present (Bank 1 Sensor 1),011D,1,29,0,O2,Generic,SAE,3,,,0,1,0,1,1,1,1,0
SAE.O2B1S2B_PRESENT,Oxygen Sensor Present (Bank 1 Sensor 2),011D,1,29,1,O2,Generic,SAE,3,,,0,1,0,1,1,1,1,0
SAE.O2B2S1B_PRESENT,Oxygen Sensor Present (Bank 2 Sensor 1),011D,1,29,2,O2,Generic,SAE,3,,,0,1,0,1,1,1,1,0
SAE.O2B2S2B_PRESENT,Oxygen Sensor Present (Bank 2 Sensor 2),011D,1,29,3,O2,Generic,SAE,3,,,0,1,0,1,1,1,1,0
SAE.O2B3S1B_PRESENT,Oxygen Sensor Present (Bank 3 Sensor 1),011D,1,29,4,O2,Generic,SAE,3,,,0,1,0,1,1,1,1,0
SAE.O2B3S2B_PRESENT,Oxygen Sensor Present (Bank 3 Sensor 2),011D,1,29,5,O2,Generic,SAE,3,,,0,1,0,1,1,1,1,0
SAE.O2B4S1B_PRESENT,Oxygen Sensor Present (Bank 4 Sensor 1),011D,1,29,6,O2,Generic,SAE,3,,,0,1,0,1,1,1,1,0
